"n","z","panel"
50,-0.658065318401805,"n = 50"
50,0.772585894188768,"n = 50"
50,2.07489173202802,"n = 50"
50,2.24019496595476,"n = 50"
50,2.0170923138845,"n = 50"
50,-0.702694154576625,"n = 50"
50,0.777093247105115,"n = 50"
50,0.335635621182451,"n = 50"
50,1.6182047064561,"n = 50"
50,-0.996632998917597,"n = 50"
50,-1.71277610810518,"n = 50"
50,2.85342041020918,"n = 50"
50,-1.70124045560309,"n = 50"
50,0.621087188224588,"n = 50"
50,-0.241917108091438,"n = 50"
50,-1.19551709274359,"n = 50"
50,0.57262402408852,"n = 50"
50,0.23840125290092,"n = 50"
50,0.237382238573897,"n = 50"
50,1.22391102899455,"n = 50"
50,0.733564587047499,"n = 50"
50,-1.52658787596689,"n = 50"
50,-1.03682646257881,"n = 50"
50,1.0900649702731,"n = 50"
50,-0.289807847151001,"n = 50"
50,-0.289171461918757,"n = 50"
50,-0.0513195206758215,"n = 50"
50,-1.27387764041208,"n = 50"
50,-1.03720420736089,"n = 50"
50,0.761481097411683,"n = 50"
50,0.101947120675922,"n = 50"
50,-1.64066876119353,"n = 50"
50,0.726825327132981,"n = 50"
50,0.353126927406598,"n = 50"
50,-0.1046882055601,"n = 50"
50,0.631953830360327,"n = 50"
50,0.325684625493562,"n = 50"
50,-1.05915096007581,"n = 50"
50,0.0484718794254505,"n = 50"
50,-0.508273862410249,"n = 50"
50,1.08247212647683,"n = 50"
50,-1.6421248866288,"n = 50"
50,-1.0883269478746,"n = 50"
50,0.382619443532769,"n = 50"
50,1.75472919238613,"n = 50"
50,-0.195563539420003,"n = 50"
50,-0.175758415260909,"n = 50"
50,1.70905513710095,"n = 50"
50,-0.215627517986249,"n = 50"
50,0.181077409633746,"n = 50"
50,0.895128316346721,"n = 50"
50,-1.25143996039021,"n = 50"
50,1.52400628335454,"n = 50"
50,0.794418823129898,"n = 50"
50,2.54993509640422,"n = 50"
50,1.1877389278935,"n = 50"
50,0.994658355272163,"n = 50"
50,-0.0835116327119518,"n = 50"
50,-0.856458490535687,"n = 50"
50,-0.684255945702465,"n = 50"
50,-2.8866045044727,"n = 50"
50,0.672477095576349,"n = 50"
50,0.0723014061226097,"n = 50"
50,-1.39455159963971,"n = 50"
50,0.662754348840419,"n = 50"
50,-2.50832673154197,"n = 50"
50,0.918086508612341,"n = 50"
50,0.413958421192496,"n = 50"
50,-1.88760573887693,"n = 50"
50,2.44674408172957,"n = 50"
50,-1.91144187586152,"n = 50"
50,3.19952847178458,"n = 50"
50,-0.31170376916468,"n = 50"
50,0.199226624869209,"n = 50"
50,0.920820966719155,"n = 50"
50,0.61153652773425,"n = 50"
50,-1.05051166675165,"n = 50"
50,-0.554989892223591,"n = 50"
50,0.233551135678727,"n = 50"
50,-0.181353169086791,"n = 50"
50,-1.10438456256271,"n = 50"
50,-2.33517898734072,"n = 50"
50,2.08260659110646,"n = 50"
50,0.775824353652167,"n = 50"
50,-1.07608496459036,"n = 50"
50,-1.39437511326594,"n = 50"
50,-1.411600769426,"n = 50"
50,0.24738684839059,"n = 50"
50,-1.45530902026243,"n = 50"
50,-0.967689668730205,"n = 50"
50,0.347962822942501,"n = 50"
50,0.277011858677208,"n = 50"
50,0.224494360330332,"n = 50"
50,-0.256634436397662,"n = 50"
50,-0.328776526897064,"n = 50"
50,-0.591984126483692,"n = 50"
50,1.29696241535795,"n = 50"
50,0.822368068992509,"n = 50"
50,1.14630461447033,"n = 50"
50,-0.310902539025975,"n = 50"
50,0.302508709567266,"n = 50"
50,0.109760734672686,"n = 50"
50,-1.70892953295134,"n = 50"
50,0.915330278492332,"n = 50"
50,-0.436243479311877,"n = 50"
50,1.09131440349516,"n = 50"
50,1.39373500331237,"n = 50"
50,-0.446817302912729,"n = 50"
50,0.0365272670127738,"n = 50"
50,1.38088477539181,"n = 50"
50,-0.507662474611642,"n = 50"
50,4.07373367267242,"n = 50"
50,-0.692065206658012,"n = 50"
50,2.04870884542073,"n = 50"
50,-0.225124902240891,"n = 50"
50,0.547879525912138,"n = 50"
50,0.433641127579145,"n = 50"
50,1.34873637397104,"n = 50"
50,-1.58714705324699,"n = 50"
50,-1.13931324554053,"n = 50"
50,-0.584807105402939,"n = 50"
50,1.28701186390271,"n = 50"
50,0.833814924546483,"n = 50"
50,-1.29427673765443,"n = 50"
50,1.57451022877717,"n = 50"
50,1.88708278974111,"n = 50"
50,0.682933218260737,"n = 50"
50,-1.66760058664287,"n = 50"
50,-0.868588203294141,"n = 50"
50,0.5690996013465,"n = 50"
50,-0.529786555281988,"n = 50"
50,0.707991848041324,"n = 50"
50,2.46798751465661,"n = 50"
50,0.323376266077131,"n = 50"
50,-0.141015327560463,"n = 50"
50,-0.736536431741678,"n = 50"
50,0.287832952974274,"n = 50"
50,-0.833712498574538,"n = 50"
50,-1.10008715520806,"n = 50"
50,-0.23877804780816,"n = 50"
50,1.59991202244251,"n = 50"
50,1.90000987337919,"n = 50"
50,-1.02088424703951,"n = 50"
50,-0.273624674015283,"n = 50"
50,0.346100445548986,"n = 50"
50,-0.177523232796695,"n = 50"
50,0.273082773200894,"n = 50"
50,-1.50776191049236,"n = 50"
50,0.902857290362443,"n = 50"
50,0.345879136542672,"n = 50"
50,-1.98069906920252,"n = 50"
50,-1.09530932457373,"n = 50"
50,1.15508097847506,"n = 50"
50,-0.981736343869531,"n = 50"
50,0.676733429906565,"n = 50"
50,-0.702250862920856,"n = 50"
50,1.13124249090858,"n = 50"
50,-0.955206031040798,"n = 50"
50,-0.817341018802266,"n = 50"
50,1.0635020025942,"n = 50"
50,0.217204747031988,"n = 50"
50,1.20568455017758,"n = 50"
50,-0.547944401058831,"n = 50"
50,-0.44868544064903,"n = 50"
50,-1.6012522989645,"n = 50"
50,-0.188650468999159,"n = 50"
50,0.670776551757363,"n = 50"
50,-0.129073520962425,"n = 50"
50,-1.59433028810099,"n = 50"
50,-0.562419662451665,"n = 50"
50,0.807696786497939,"n = 50"
50,-0.488232685444031,"n = 50"
50,0.530991453770309,"n = 50"
